cid,entry_date,exit_date,gross_return,hold_days,exit_type,recon_date
PYUSD-USD,2026-02-01,2026-02-21,0.00017611713310173105,20,FIXED_20d,2026-01-31
HNT-USD,2026-02-01,2026-02-21,0.5012195925008105,20,FIXED_20d,2026-01-31
ZETA-USD,2026-02-01,2026-02-21,-0.08461108787111751,20,FIXED_20d,2026-01-31
STSOL-USD,2026-02-01,2026-02-21,-0.21566643470864189,20,FIXED_20d,2026-01-31
BSOL-USD,2026-02-01,2026-02-21,-0.2129008011927778,20,FIXED_20d,2026-01-31
WIF-USD,2026-03-01,2026-03-15,-0.1242473393132104,14,FIXED_20d,2026-02-28
RAY-USD,2026-03-01,2026-03-15,0.03989923806360275,14,FIXED_20d,2026-02-28
RENDER-USD,2026-03-01,2026-03-15,0.3896957226312402,14,FIXED_20d,2026-02-28
FARTCOIN-USD,2026-03-01,2026-03-15,0.06261107227465144,14,FIXED_20d,2026-02-28
ORCA-USD,2026-03-01,2026-03-15,0.10331881078963695,14,FIXED_20d,2026-02-28
MSOL-USD,2026-03-01,2026-03-15,0.05657088949112602,14,FIXED_20d,2026-02-28
JITOSOL-USD,2026-03-01,2026-03-15,0.05504357427143809,14,FIXED_20d,2026-02-28
PYUSD-USD,2026-03-01,2026-03-15,-0.00015869660368998816,14,FIXED_20d,2026-02-28
HNT-USD,2026-03-01,2026-03-15,-0.08760447380548633,14,FIXED_20d,2026-02-28
ZETA-USD,2026-03-01,2026-03-15,-0.046106214393921575,14,FIXED_20d,2026-02-28
STSOL-USD,2026-03-01,2026-03-15,0.04693613235664455,14,FIXED_20d,2026-02-28
BSOL-USD,2026-03-01,2026-03-15,0.05471878458130568,14,FIXED_20d,2026-02-28
